slug,name,description
home,,"about my humble abode"
recycling,Recycling,
computing,Computing,
housing,Housing,
humans,Humans,
government,Government,
businessrestaurant,Business/Restaurant,
traffic,Traffic,
designengineering,Design/Engineering,
sites,Sites,"Web sites which ought to exist to help out folk"
car,,"about my car"
boat,,"about mine and Paul's sailing adventures on the USS Pyewhacket and any other seagoing vessel I may find want to write about."
stub,,
education,Education,
server,,
bicycle,,
purchase,,
yars,Yars,
vacation,,
seattle,,
jamie,,
phone,,
palm,,
pda,,
elections,,
wordpress,,
dwight,,
roommate,,
plumbing,,
weather,,
parents,,
motorcycle,,
file,File,
system,System,
database,Database,
theft,,
clothing,,
washing,,
internship,,
school,,
job,,
mice,,
pests,,
sailing,,
race,,
politics,,
network,,
love,,
life,,
books,,
hair,,
appearance,,
toby,Toby,
ideas,,
countries,,
location,,
maintenance,,
rpm,,
webd,WebD,
freelance,,
old,,
archive,,
commandline,,
problem,,
music,,
itunes,,
angry,,
opportunity,,
stocks,,
finance,,
google,,
service,,
backup,,
iphoto,,
ibook,,
mac,,
osx,,
audio,,
socialisms,,
facebook,,
friends,,
social,,
internet,,
woodridge,,
reunion,,
taxes,,
bash,,
configuration,,
lighting,,
blog,,
fire,,
event,,
cleveland,,
state,,
science,,
philosophy,,
truth,,
thoughts,,
raspberrypi,raspberryPi,
computer,,
electronics,,
micro,,
house,,
pipes,,
frozen,,
cold,,
videogames,videoGames,
emulator,,
mediacenter,mediaCenter,
linux,,
patents,,
funny,,
firefox,,
browser,,
tabs,,
feature,,
extension,,
svg,,
icons,,
site,,
ascii,,
net,.NET,
404,,
accessibility,,
admin,,
ajax,,
analytics,,
animation,,
apache,,
app,,
art,,
asciiart,asciiArt,
aside,,
asp,,
assignment,,
awstats,,
behavior,,
browsers,,
cache,,
callbacks,,
caninelifeline,canineLifeline,
certificate,,
cli,,
client,,
closures,,
cms,,
code,,
cogneato,,
columns,,
comment,,
compatability,,
composer,,
compression,,
conference,,
console,,
css,,
css3,,
curl,,
data,,
dates,,
deflate,,
design,,
development,,
doctype,,
dom,,
domains,,
donations,,
dotfiles,,
dotnetnuke,dotNetNuke,
drawing,,
dreamhost,,
easings,,
easteregg,easterEgg,
ecommerce,,
editor,,
effect,,
elements,,
environment,,
error,,
es6,,
fastcgi,,
fireworks,,
fish,,
flare,,
flutter,,
formats,,
forms,,
forum,,
framework,,
friend,,
frontend,frontEnd,
functionality,,
functions,,
fundamental,,
general,,
git,,
github,,
givecamp,,
goal,,
googleanalytics,googleAnalytics,
graduation,,
grid,,
gzip,,
happs,,
headers,,
host,,
hosting,,
hotlinking,,
htaccess,,
htc,,
html,,
html5,,
http,,
https,,
ie,IE,
images,,
indieweb,,
javacript,,
javascript,,
jobs,,
jquery,,
jqueryui,,
kendo,,
layout,,
learning,,
lesscss,lessCSS,
letsencrypt,,
library,,
linemode,lineMode,
links,,
loadbalancer,loadBalancer,
loading,,
local,,
logging,,
lynda,,
macbook,,
magicfields,magicFields,
manifest,,
map,,
markdown,,
media,,
meetup,,
menu,,
mixin,,
mockup,,
mod_deflate,,
mod_rewrite,,
monitors,,
my,,
mysql,,
namespace,,
nonprofit,,
objects,,
oo,OO,
opensource,openSource,
organization,,
os,,
paging,,
parallax,,
parallels,,
parse,,
performance,,
permashortlinks,,
permissions,,
persona,,
photoshop,,
php,,
piwik,,
plugins,,
pod,,
pods,,
posts,,
practices,,
preperation,,
preprocessing,,
process,,
productivity,,
programming,,
progressiveenhancement,progressiveEnhancement,
project,,
proxy,,
query,,
queue,,
reactjs,,
reflection,,
repository,,
requirejs,,
research,,
responsive,,
role,,
rotation,,
routing,,
rss,,
samba-soccer,"samba soccer",
sass,,
savings,,
script,,
scss,,
search,,
security,,
selfhosting,selfHosting,
selfsigned,selfSigned,
seo,,
serviceworkers,serviceWorkers,
shell,,
shortcodes,,
slideshow,,
spa,SPA,
spec,,
ssl,,
static,,
statistics,,
status,,
stearns,Stearns,
stirtrek,,
style,,
support,,
symfony,,
tags,,
technique,,
templates,,
test,,
theme,,
timeouts,,
tld,,
tmcom,,
tmlib,,
todo,TODO,
tool,,
transitions,,
tri-c,,
tumblelog,,
upgrade,,
validation,,
versioning,,
web,,
web-development,"web development",
webiiclass,webIIClass,
webmentions,,
windows,,
wireframe,,
wordpress-com,wordpress.com,
worflow,,
xhtml,,
xhtml5,,
xml,,
xsl,,
zsh,,
move,,
movie,,
tagline,,
concert,,
classical,,
wandasobieska,wandaSobieska,
jetpack,,
sitemap,,
independentcontractor,independentContractor,
business,,
worries,,
canonical,,
yardwork,yardWork,
symlink,,
gotcha,,
glob,,
paths,,
flexbox,,
bug,,
color,,
email,,
redirect,,
cavs,,
basketball,,
sports,,
record,,
specificity,,
trick,,
outage,,
bird,,
animal,,
rescue,,
failure,,
death,,
lock,,
incident,,
password,,
comedy,,
show,,
live,,
fotc,,
talk,,
video,,
curse,,
stress,,
win,,
championship,,
indians,,
abstraction,,
book,,
card,,
sciencefiction,scienceFiction,
reading,,
health,,
insurance,,
money,,
holiday,,
orchestra,,
weekend,,
independenceday,independenceDay,
regex,,
string,,
manipulation,,
mammal,,
accident,,
writing,,
cool,,
plagarism,,
tent,,
camping,,
broken,,
pole,,
family,,
trip,,
practice,,
phonegap,,
rain,,
plants,,
lawn,,
dream,,
driving,,
crash,,
hearing,,
ear,,
bought,,
cuyahoga,,
river,,
history,,
tour,,
cruise,,
steel,,
industrial,,
bridge,,
laptop,,
mobile,,
submit,,
android,,
ios,,
fix,,
hash,,
satellite,,
star,,
gazing,,
contest,,
deploy,,
azure,,
10kapart,,
update,,
akron,,
game,,
evn,,
keyboard,,
thanksgiving,,
bookmark,,
winkinglizard,winkingLizard,
cook,,
nightmare,,
christmas,,
dessert,,
baking,,
hike,,
outdoors,,
park,,
unseasonable,,
work,,
trouble,,
newyear,newYear,
birthday,,
imagemagick,,
colordepth,colorDepth,
noscript,,
groceries,,
store,,
creditcard,creditCard,
entertainment,,
tv,,
review,,
adium,,
aim,,
messaging,,
minify,,
cssnano,,
postcss,,
gui,,
control,,
closecall,closeCall,
floor,,
wood,,
cleaning,,
compost,,
